cd .transaction_id,customer_id,agent_id,branch,amount,channel,source_account,declared_account,bureau_inquiries_7d,gps_mismatch_km,repeated_source_count,employee_override_count
TX000000,CUST00502,AG0029,Mumbai,73410.98,ATM,ACC9017,ACC1057,0,0.81,0,0
TX000001,CUST01117,AG0054,Mumbai,24426.6,Wallet,ACC1013,ACC1013,0,1.41,3,0
TX000002,CUST00441,AG0098,Nagpur,11154.1,NEFT,ACC1174,ACC1174,3,0.0,2,0
TX000003,CUST00741,AG0074,Mumbai,36107.01,IMPS,ACC9018,ACC1193,2,0.0,10,2
TX000004,CUST00929,AG0082,Nagpur,13120.07,Payment Gateway,ACC1051,ACC1051,0,3.6,2,0
TX000005,CUST00553,AG0082,Bengaluru,34469.17,Wallet,ACC9024,ACC1125,2,0.19,0,1
TX000006,CUST00136,AG0028,Delhi,57165.83,Payment Gateway,ACC1161,ACC1161,1,3.13,0,0
TX000007,CUST01198,AG0055,Delhi,22542.27,IMPS,ACC1287,ACC1287,1,0.0,0,0
TX000008,CUST00865,AG0077,Pune,18190.47,Cards,ACC9010,ACC1056,1,4.72,0,1
TX000009,CUST00697,AG0015,Nagpur,22836.36,Payment Gateway,ACC1274,ACC1274,3,0.55,0,0
TX000010,CUST00218,AG0081,Nagpur,69732.79,IMPS,ACC1091,ACC1091,0,1.38,3,0
TX000011,CUST01001,AG0003,Pune,51912.79,UPI,ACC1000,ACC1000,0,0.0,1,0
TX000012,CUST01091,AG0099,Mumbai,10178.59,ATM,ACC1248,ACC1248,0,0.0,8,2
TX000013,CUST00818,AG0086,Bengaluru,4767.0,Cards,ACC1102,ACC1102,0,0.77,0,0
TX000014,CUST00452,AG0001,Pune,36427.87,UPI,ACC1283,ACC1283,4,1.64,0,0
TX000015,CUST01170,AG0074,Nashik,13776.83,Cards,ACC1109,ACC1109,0,0.67,0,0
TX000016,CUST00111,AG0087,Bengaluru,21976.34,Wallet,ACC1216,ACC1216,0,2.0,0,0
TX000017,CUST00155,AG0057,Delhi,5506.01,ATM,ACC1236,ACC1236,3,3.28,8,2
TX000018,CUST00986,AG0028,Nashik,52113.31,UPI,ACC9031,ACC1121,5,0.9,1,0
TX000019,CUST00997,AG0020,Mumbai,34110.8,Payment Gateway,ACC1284,ACC1284,0,4.34,0,0
TX000020,CUST00165,AG0024,Pune,40198.32,IMPS,ACC9032,ACC1271,1,3.38,1,0
TX000021,CUST01196,AG0073,Delhi,19131.32,Payment Gateway,ACC1041,ACC1041,2,0.36,0,0
TX000022,CUST00149,AG0002,Nashik,39359.86,UPI,ACC1153,ACC1153,0,1.52,5,2
TX000023,CUST00324,AG0057,Delhi,55235.33,Wallet,ACC1125,ACC1125,2,2.58,0,1
TX000024,CUST00213,AG0018,Nagpur,29744.07,ATM,ACC1153,ACC1153,0,0.0,4,0
TX000025,CUST00105,AG0012,Bengaluru,23271.7,UPI,ACC1128,ACC1128,0,3.49,0,3
TX000026,CUST01130,AG0091,Nashik,29558.29,Payment Gateway,ACC1082,ACC1082,4,0.0,1,0
TX000027,CUST00082,AG0046,Mumbai,56966.43,NEFT,ACC9023,ACC1065,2,0.24,4,0
TX000028,CUST00485,AG0021,Mumbai,43746.31,Cards,ACC1079,ACC1079,3,3.36,0,1
TX000029,CUST00080,AG0061,Mumbai,8520.96,Wallet,ACC1055,ACC1055,0,0.0,0,0
TX000030,CUST00143,AG0099,Nagpur,17740.15,Payment Gateway,ACC1168,ACC1168,5,0.0,0,3
TX000031,CUST00544,AG0005,Pune,32943.8,Wallet,ACC1091,ACC1091,0,0.24,2,0
TX000032,CUST00390,AG0033,Pune,95363.98,Payment Gateway,ACC1197,ACC1197,4,1.1,1,3
